manager,security,ISIN,transaction_date,quantity,price,transaction_amount,transaction_type,filing,filing_date
Amansa,Laurus Labs Ltd,INE947Q01010,3/14/2019,3300000,351,1158300000,Buy,Bulk,3/14/2019
Amansa,RAMKRISHNA FORGINGS LTD.,INE399G01015,11/30/2018,1600000,515.24,824384000,Sell,Bulk,11/30/2018
Amansa,CEAT LTD.,INE482A01020,9/23/2016,237500,1171,278112500,Buy,Bulk,9/23/2016
Amansa,ENTERTAINMENT NETWORK (INDIA) LTD.,INE265F01028,11/10/2016,314544,730,229617120,Buy,Bulk,11/10/2016
Amansa,Shankara Building Products Ltd,INE274V01019,3/12/2018,147216,1755,258364080,Buy,Bulk,3/12/2018
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,5/8/2018,560000,290.03,162416800,Sell,Bulk,5/8/2018
Amansa,TRIVENI TURBINE LTD.,INE152M01016,2/8/2018,15377278,126,1937537028,Sell,Bulk,2/8/2018
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,5/8/2018,418000,291.81,121976580,Sell,Bulk,5/8/2018
Amansa,SUDARSHAN CHEMICAL INDUSTRIES LTD.,INE659A01023,7/17/2019,963008,315,303347520,Buy,Bulk,7/17/2019
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,5/22/2017,838130,237,198636810,Buy,Bulk,5/22/2017
Amansa,Shankara Building Products Ltd,INE274V01019,2/7/2018,397100,1675,665142500,Buy,Bulk,2/7/2018
Amansa,Cyient Limited,INE136B01020,9/27/2017,3079937,475,1462970075,Buy,Bulk,9/27/2017
Amansa,MAGMA FINCORP LTD.,INE511C01022,5/10/2018,3275860,166,543792760,Buy,Bulk,5/10/2018
Amansa,Shankara Building Products Ltd,INE274V01019,11/28/2018,123628,676.24,83602198.72,Buy,Bulk,11/28/2018
Amansa,Sadbhav Infrastructure Project Ltd,INE764L01010,3/31/2016,2087580,102.98,214978988.4,Buy,Bulk,3/31/2016
Amansa,Balkrishna Paper Mills Ltd,INE875R01011,2/19/2016,75000,41.44,3108000,Sell,Bulk,2/19/2016
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,4/27/2016,500000,250,125000000,Buy,Bulk,4/27/2016
Amansa,Intellect Design Arena Ltd,INE306R01017,7/18/2019,960400,267,256426800,Buy,Bulk,7/18/2019
Amansa,TATA COMMUNICATIONS LTD.,INE151A01013,9/30/2019,1852638,370,685476060,Sell,Bulk,9/30/2019
Amansa,Laurus Labs Ltd,INE947Q01010,3/8/2019,1018308,350,356407800,Buy,Bulk,3/8/2019
Amansa,RAMKRISHNA FORGINGS LTD.,INE399G01015,11/30/2018,296600,515.11,152781626,Sell,Bulk,11/30/2018
Amansa,Shankara Building Products Ltd,INE274V01019,11/28/2018,168448,679.98,114541271,Buy,Bulk,11/28/2018
Amansa,Intellect Design Arena Ltd,INE306R01017,7/18/2019,953000,267,254451000,Buy,Bulk,7/18/2019
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,5/22/2017,1591000,234.84,373630440,Buy,Bulk,5/22/2017
Amansa,D B Corp Ltd,INE950I01011,5/5/2017,3772562,350.07,1320660779,Sell,Bulk,5/5/2017
Amansa,Cholamandalam Investment and Finance Company Ltd,INE121A01024,2/27/2017,4000000,970.21,3880840000,Sell,Bulk,2/27/2017
Amansa,THERMAX LTD.,INE152A01029,1/25/2017,1260777,810,1021229370,Sell,Bulk,1/25/2017
Amansa,KIRLOSKAR BROTHERS LTD.-$,INE732A01036,4/7/2016,725723,125.44,91034693.12,Sell,Bulk,4/7/2016
Amansa,AU Small Finance Bank Ltd,INE949L01017,8/10/2018,1249995,638,797496810,Buy,Block,8/10/2018
Amansa,KIRLOSKAR BROTHERS LTD.-$,INE732A01036,4/7/2016,605000,122.59,74166950,Sell,Bulk,4/7/2016
Amansa,SUDARSHAN CHEMICAL INDUSTRIES LTD.,INE659A01023,8/13/2019,625391,325,203252075,Buy,Bulk,8/13/2019
Amansa,Sadbhav Infrastructure Project Ltd,INE764L01010,5/5/2017,13225812,104.5,1382097354,Sell,Block,5/5/2017
Amansa,Indian Energy Exchange Ltd,INE022Q01020,9/13/2019,10941482,115.18,1260239897,Buy,Bulk,9/13/2019
Amansa,Sadbhav Infrastructure Project Ltd,INE764L01010,5/5/2017,13225812,104.5,1382097354,Sell,Bulk,5/5/2017
Amansa,Tejas Networks Ltd,INE010J01012,6/27/2017,1350000,260.56,351756000,Buy,Bulk,6/27/2017
Amansa,Balkrishna Paper Mills Ltd,INE875R01011,2/19/2016,67944,42.07,2858404.08,Sell,Bulk,2/19/2016
Amansa,MAHINDRA LIFESPACE DEVELOPERS LTD.,INE813A01018,3/8/2017,630000,350.4,220752000,Sell,Bulk,3/8/2017
Amansa,KIRLOSKAR BROTHERS LTD.-$,INE732A01036,4/5/2016,500000,115.41,57705000,Sell,Bulk,4/5/2016
Amansa,Shankara Building Products Ltd,INE274V01019,3/12/2018,215000,1755,377325000,Buy,Bulk,3/12/2018
Amansa,Laurus Labs Ltd,INE947Q01010,3/8/2019,1209249,350,423237150,Buy,Bulk,3/8/2019
Amansa,FORTIS HEALTHCARE LTD.,INE061F01013,3/23/2017,2860200,175.07,500735214,Buy,Bulk,3/23/2017
Amansa,CEAT LTD.,INE482A01020,9/23/2016,237500,1171,278112500,Buy,Bulk,9/23/2016
Amansa,KIRLOSKAR BROTHERS LTD.-$,INE732A01036,2/15/2016,1500000,115,172500000,Sell,Bulk,2/15/2016
Amansa,ENTERTAINMENT NETWORK (INDIA) LTD.,INE265F01028,11/10/2016,258465,730,188679450,Buy,Bulk,11/10/2016
Amansa,MAHINDRA LIFESPACE DEVELOPERS LTD.,INE813A01018,3/8/2017,370000,350.02,129507400,Sell,Bulk,3/8/2017
Amansa,FORTIS HEALTHCARE LTD.,INE061F01013,3/8/2017,2597604,178.5,463672314,Buy,Bulk,3/8/2017
Elara India,PARAMOUNT COMMUNICATIONS LTD.-$,INE074B01023,11/22/2018,3468787,8.5,29484689.5,Sell,Bulk,11/22/2018
Elara India,Lexus Granito (India) Limited,INE500X01013,8/28/2017,144000,76.84,11064960,Sell,Bulk,8/28/2017
Elara India,Sirca Paints India Limited,INE792Z01011,7/31/2018,100000,172.6,17260000,Sell,Bulk,7/31/2018
Elara India,GSS INFOTECH LTD.,INE871H01011,3/19/2018,100000,67.5,6750000,Buy,Bulk,3/19/2018
Elara India,Jash Engineering Limited,INE039O01011,10/12/2017,93600,140.73,13172328,Sell,Bulk,10/12/2017
Elara India,PRITISH NANDY COMMUNICATIONS LTD.,INE392B01011,4/27/2017,500000,25.07,12535000,Sell,Bulk,4/27/2017
Elara India,GSS INFOTECH LTD.,INE871H01011,4/18/2018,650000,74,48100000,Buy,Bulk,4/18/2018
Elara India,KARUTURI GLOBAL LTD.,INE299C01024,4/26/2018,22351080,1.89,42243541.2,Sell,Bulk,4/26/2018
Elara India,CUPID LTD.-$,INE509F01011,5/5/2017,107236,317,33993812,Sell,Bulk,5/5/2017
Elara India,Sirca Paints India Limited,INE792Z01011,5/30/2018,376800,164.12,61840416,Sell,Bulk,5/30/2018
Elara India,Renaissance Global Ltd,INE722H01016,8/11/2017,266617,185,49324145,Sell,Bulk,8/11/2017
Elara India,Suyog Telematics Ltd,INE442P01014,11/4/2016,200400,450,90180000,Buy,Bulk,11/4/2016
Elara India,S.S. Infrastructure Development Consultants Limited,INE182Z01015,4/13/2018,99000,42.01,4158990,Sell,Bulk,4/13/2018
Elara India,CUPID LTD.-$,INE509F01011,3/29/2017,352000,333.99,117564480,Buy,Bulk,3/29/2017
Elara India,PRAKASH INDUSTRIES LTD.,INE603A01013,4/5/2017,1006960,81.2,81765152,Sell,Bulk,4/5/2017
Elara India,PRAKASH INDUSTRIES LTD.,INE603A01013,6/21/2017,2075000,93.09,193161750,Sell,Bulk,6/21/2017
Elara India,CHARTERED LOGISTICS LTD.,INE558F01026,7/25/2017,1700000,24.5,41650000,Buy,Bulk,7/25/2017
Elara India,CHARTERED LOGISTICS LTD.,INE558F01026,7/28/2017,1400000,23,32200000,Buy,Bulk,7/28/2017
Elara India,PRAKASH INDUSTRIES LTD.,INE603A01013,6/27/2017,968318,96.01,92968211.18,Sell,Bulk,6/27/2017
Elara India,Suyog Telematics Ltd,INE442P01014,7/31/2017,200400,331,66332400,Sell,Bulk,7/31/2017
Elara India,Renaissance Global Ltd,INE722H01016,8/11/2017,266617,185,49324145,Sell,Bulk,8/11/2017
Elara India,InfoBeans Technologies Limited,INE344S01016,5/3/2017,290000,71.77,20813300,Sell,Bulk,5/3/2017
Elara India,VEER ENERGY & INFRASTRUCTURE LTD.,INE255E01030,3/19/2018,200000,29,5800000,Sell,Bulk,3/19/2018
Elara India,T D POWER SYSTEMS LTD.,INE419M01019,3/19/2018,211422,203,42918666,Sell,Bulk,3/19/2018
Elara India,T D POWER SYSTEMS LTD.,INE419M01019,3/19/2018,211422,203,42918666,Buy,Bulk,3/19/2018
Elara India,INTERNATIONAL CONVEYORS LTD.,INE575C01027,3/23/2018,384003,21.1,8102463.3,Sell,Bulk,3/23/2018
Elara India,ELPRO INTERNATIONAL LTD.,INE579B01039,3/26/2018,1100000,47.5,52250000,Sell,Bulk,3/26/2018
Elara India,INTERNATIONAL CONVEYORS LTD.,INE575C01027,3/26/2018,1100000,21.5,23650000,Sell,Bulk,3/26/2018
Elara India,Affordable Robotic & Automation Ltd,INE692Z01013,6/4/2018,124800,92.95,11600160,Sell,Bulk,6/4/2018
Elara India,Affordable Robotic & Automation Ltd,INE692Z01013,6/4/2018,88000,92.96,8180480,Sell,Bulk,6/4/2018
Elara India,RUSHIL DECOR LTD.,INE573K01017,6/6/2018,75000,625,46875000,Buy,Bulk,6/6/2018
Elara India,INTERNATIONAL CONVEYORS LTD.,INE575C01027,4/16/2019,340000,29.75,10115000,Sell,Bulk,4/16/2019
Elara India,Lexus Granito (India) Limited,INE500X01013,8/24/2017,201000,64,12864000,Sell,Bulk,8/24/2017
Elara India,PRITISH NANDY COMMUNICATIONS LTD.,INE392B01011,1/27/2017,500000,24.5,12250000,Sell,Bulk,1/27/2017
Elara India,CHARTERED LOGISTICS LTD.,INE558F01026,8/4/2017,1300000,22.75,29575000,Buy,Bulk,8/4/2017
Elara India,Softtech Engineers Limited,INE728Z01015,5/11/2018,347200,85.76,29775872,Sell,Bulk,5/11/2018
Steadview,DFM FOODS LTD.,INE456C01020,5/26/2016,140480,1715,240923200,Buy,Block,5/26/2016
Steadview,DFM FOODS LTD.,INE456C01020,6/22/2017,118917,1404.74,167047466.6,Sell,Bulk,6/22/2017
Steadview,DFM FOODS LTD.,INE456C01020,5/26/2016,134000,1715,229810000,Buy,Block,5/26/2016
Steadview,Syngene International Ltd,INE398R01022,11/23/2017,1500000,515,772500000,Sell,Block,11/23/2017
Steadview,Syngene International Ltd,INE398R01022,11/23/2017,450000,515,231750000,Sell,Block,11/23/2017
Steadview,V-GUARD INDUSTRIES LTD.,INE951I01027,4/25/2016,1054131,930,980341830,Sell,Bulk,4/25/2016
Steadview,DFM FOODS LTD.,INE456C01020,5/26/2016,274480,1715,470733200,Buy,Bulk,5/26/2016
Steadview,SHRIRAM CITY UNION FINANCE LTD.,INE722A01011,7/1/2016,944208,1630,1539059040,Sell,Bulk,7/1/2016
Steadview,Syngene International Ltd,INE398R01022,12/2/2016,3000000,575,1725000000,Buy,Bulk,12/2/2016
Steadview,DFM FOODS LTD.,INE456C01020,6/22/2017,127000,1400.15,177819050,Sell,Bulk,6/22/2017
Steadview,ECLERX SERVICES LTD.,INE738I01010,10/9/2017,514662,1200,617594400,Sell,Bulk,10/9/2017
Steadview,Strides Pharma Science Ltd,INE939A01011,10/10/2017,637664,861.19,549149860.2,Sell,Bulk,10/10/2017
Steadview,Syngene International Ltd,INE398R01022,11/23/2017,1950000,516.92,1007994000,Sell,Bulk,11/23/2017
Steadview,LA OPALA RG LTD.,INE059D01020,10/17/2018,3437911,225,773529975,Sell,Bulk,10/17/2018
Steadview,LA OPALA RG LTD.,INE059D01020,3/5/2019,753715,200,150743000,Sell,Bulk,3/5/2019
Steadview,Dixon Technologies (India) Ltd,INE935N01012,9/18/2017,60000,2980.89,178853400,Buy,Bulk,9/18/2017
Steadview,CERA SANITARYWARE LTD.,INE739E01017,4/12/2016,140935,1760,248045600,Sell,Bulk,4/12/2016
Steadview,V-MART RETAIL LTD.,INE665J01013,1/22/2020,312816,1885,589658160,Sell,Bulk,1/22/2020
